Trafikkregistreringspunkt;Navn;Vegreferanse;Fra;Til;År;Måned;Trafikkmengde;Konfidensintervall start;Konfidensintervall slutt;Dekningsgrad (%);Antall døgn total;Antall døgn inkludert;Antall døgn ugyldig;Ikke gyldig lengde;Lengdekvalitetsgrad (%);Felt;< 5,6m;>= 5,6m;5,6m - 7,6m;7,6m - 12,5m;12,5m - 16,0m;>= 16,0m;16,0m - 24,0m;>= 24,0m
19646V885990;Tuv sør;FV17 S58D1 m17951;2025-01-01T00:00+01:00;2025-02-01T00:00+01:00;2025;1;624;624;624;100,0;31;31;0;0;100,0;1;540;84;16;37;9;21;21;0
19646V885990;Tuv sør;FV17 S58D1 m17951;2025-01-01T00:00+01:00;2025-02-01T00:00+01:00;2025;1;631;631;631;100,0;31;31;0;1;99,8;2;544;87;16;41;9;21;21;0
19646V885990;Tuv sør;FV17 S58D1 m17951;2025-01-01T00:00+01:00;2025-02-01T00:00+01:00;2025;1;629;629;629;100,0;31;31;0;0;100,0;Totalt i retning Ørnes;543;86;16;40;9;21;21;0
19646V885990;Tuv sør;FV17 S58D1 m17951;2025-01-01T00:00+01:00;2025-02-01T00:00+01:00;2025;1;626;626;626;100,0;31;31;0;1;99,8;Totalt i retning Bodø;541;85;16;38;9;21;21;0
19646V885990;Tuv sør;FV17 S58D1 m17951;2025-01-01T00:00+01:00;2025-02-01T00:00+01:00;2025;1;1255;1255;1255;100,0;31;31;0;1;99,9;Totalt;1084;170;32;78;18;42;42;0
19646V885990;Tuv sør;FV17 S58D1 m17951;2025-02-01T00:00+01:00;2025-03-01T00:00+01:00;2025;2;684;684;684;100,0;28;28;0;0;100,0;1;592;92;20;41;12;19;19;0
19646V885990;Tuv sør;FV17 S58D1 m17951;2025-02-01T00:00+01:00;2025-03-01T00:00+01:00;2025;2;683;683;683;100,0;28;28;0;0;100,0;2;592;91;19;42;11;19;19;0
19646V885990;Tuv sør;FV17 S58D1 m17951;2025-02-01T00:00+01:00;2025-03-01T00:00+01:00;2025;2;681;681;681;100,0;28;28;0;0;100,0;Totalt i retning Ørnes;591;90;19;42;11;19;19;0
19646V885990;Tuv sør;FV17 S58D1 m17951;2025-02-01T00:00+01:00;2025-03-01T00:00+01:00;2025;2;685;685;685;100,0;28;28;0;0;100,0;Totalt i retning Bodø;593;92;20;42;12;19;19;0
19646V885990;Tuv sør;FV17 S58D1 m17951;2025-02-01T00:00+01:00;2025-03-01T00:00+01:00;2025;2;1367;1367;1367;100,0;28;28;0;1;99,9;Totalt;1184;183;38;83;23;38;38;0
19646V885990;Tuv sør;FV17 S58D1 m17951;2025-03-01T00:00+01:00;2025-04-01T00:00+02:00;2025;3;706;706;706;100,0;31;31;0;0;100,0;1;622;83;19;43;7;14;14;0
19646V885990;Tuv sør;FV17 S58D1 m17951;2025-03-01T00:00+01:00;2025-04-01T00:00+02:00;2025;3;705;705;705;100,0;31;31;0;0;100,0;2;620;85;19;44;7;15;15;0
19646V885990;Tuv sør;FV17 S58D1 m17951;2025-03-01T00:00+01:00;2025-04-01T00:00+02:00;2025;3;703;703;703;100,0;31;31;0;0;100,0;Totalt i retning Ørnes;619;84;19;43;7;15;15;0
19646V885990;Tuv sør;FV17 S58D1 m17951;2025-03-01T00:00+01:00;2025-04-01T00:00+02:00;2025;3;708;708;708;100,0;31;31;0;1;99,9;Totalt i retning Bodø;623;85;20;44;7;14;14;0
19646V885990;Tuv sør;FV17 S58D1 m17951;2025-03-01T00:00+01:00;2025-04-01T00:00+02:00;2025;3;1411;1411;1411;100,0;31;31;0;1;99,9;Totalt;1242;169;39;86;15;29;29;0
19646V885990;Tuv sør;FV17 S58D1 m17951;2025-04-01T00:00+02:00;2025-05-01T00:00+02:00;2025;4;868;868;868;100,0;30;30;0;0;100,0;1;761;106;26;54;8;18;18;0
19646V885990;Tuv sør;FV17 S58D1 m17951;2025-04-01T00:00+02:00;2025-05-01T00:00+02:00;2025;4;884;884;884;100,0;30;30;0;0;100,0;2;775;108;26;57;8;18;18;0
19646V885990;Tuv sør;FV17 S58D1 m17951;2025-04-01T00:00+02:00;2025-05-01T00:00+02:00;2025;4;882;882;882;100,0;30;30;0;1;99,9;Totalt i retning Ørnes;774;107;26;56;7;18;18;0
19646V885990;Tuv sør;FV17 S58D1 m17951;2025-04-01T00:00+02:00;2025-05-01T00:00+02:00;2025;4;870;870;870;100,0;30;30;0;0;100,0;Totalt i retning Bodø;763;107;26;55;8;18;18;0
19646V885990;Tuv sør;FV17 S58D1 m17951;2025-04-01T00:00+02:00;2025-05-01T00:00+02:00;2025;4;1752;1752;1752;100,0;30;30;0;1;99,9;Totalt;1537;214;52;111;15;36;36;0
19646V885990;Tuv sør;FV17 S58D1 m17951;2025-05-01T00:00+02:00;2025-06-01T00:00+02:00;2025;5;974;974;974;100,0;31;31;0;0;100,0;1;821;153;52;74;9;18;18;0
19646V885990;Tuv sør;FV17 S58D1 m17951;2025-05-01T00:00+02:00;2025-06-01T00:00+02:00;2025;5;997;997;997;100,0;31;31;0;0;100,0;2;846;151;48;76;8;19;19;0
19646V885990;Tuv sør;FV17 S58D1 m17951;2025-05-01T00:00+02:00;2025-06-01T00:00+02:00;2025;5;995;995;995;100,0;31;31;0;0;100,0;Totalt i retning Ørnes;845;150;48;75;8;18;18;0
19646V885990;Tuv sør;FV17 S58D1 m17951;2025-05-01T00:00+02:00;2025-06-01T00:00+02:00;2025;5;976;976;976;100,0;31;31;0;1;99,9;Totalt i retning Bodø;822;154;52;75;9;18;18;0
19646V885990;Tuv sør;FV17 S58D1 m17951;2025-05-01T00:00+02:00;2025-06-01T00:00+02:00;2025;5;1971;1971;1971;100,0;31;31;0;1;99,9;Totalt;1667;303;99;150;17;36;36;0
19646V885990;Tuv sør;FV17 S58D1 m17951;2025-06-01T00:00+02:00;2025-07-01T00:00+02:00;2025;6;1250;1250;1250;100,0;30;30;0;1;99,9;1;1029;221;94;91;15;21;21;0
19646V885990;Tuv sør;FV17 S58D1 m17951;2025-06-01T00:00+02:00;2025-07-01T00:00+02:00;2025;6;1276;1276;1276;100,0;30;30;0;1;99,9;2;1034;242;115;92;13;21;21;0
19646V885990;Tuv sør;FV17 S58D1 m17951;2025-06-01T00:00+02:00;2025-07-01T00:00+02:00;2025;6;1274;1274;1274;100,0;30;30;0;1;99,9;Totalt i retning Ørnes;1032;241;115;92;13;21;21;0
19646V885990;Tuv sør;FV17 S58D1 m17951;2025-06-01T00:00+02:00;2025-07-01T00:00+02:00;2025;6;1251;1251;1251;100,0;30;30;0;0;100,0;Totalt i retning Bodø;1030;221;94;91;15;21;21;0
19646V885990;Tuv sør;FV17 S58D1 m17951;2025-06-01T00:00+02:00;2025-07-01T00:00+02:00;2025;6;2525;2525;2525;100,0;30;30;0;1;100,0;Totalt;2062;462;209;183;28;41;41;0
19646V885990;Tuv sør;FV17 S58D1 m17951;2025-07-01T00:00+02:00;2025-08-01T00:00+02:00;2025;7;1514;1514;1514;99,9;31;31;0;1;99,9;1;1272;241;104;102;13;21;21;0
19646V885990;Tuv sør;FV17 S58D1 m17951;2025-07-01T00:00+02:00;2025-08-01T00:00+02:00;2025;7;1603;1603;1603;99,9;31;31;0;1;99,9;2;1322;280;136;108;14;22;22;0
19646V885990;Tuv sør;FV17 S58D1 m17951;2025-07-01T00:00+02:00;2025-08-01T00:00+02:00;2025;7;1601;1601;1601;99,9;31;31;0;1;99,9;Totalt i retning Ørnes;1320;280;136;108;14;22;22;0
19646V885990;Tuv sør;FV17 S58D1 m17951;2025-07-01T00:00+02:00;2025-08-01T00:00+02:00;2025;7;1516;1516;1516;99,9;31;31;0;1;99,9;Totalt i retning Bodø;1274;241;104;102;13;22;22;0
19646V885990;Tuv sør;FV17 S58D1 m17951;2025-07-01T00:00+02:00;2025-08-01T00:00+02:00;2025;7;3117;3117;3117;99,9;31;31;0;2;99,9;Totalt;2594;521;240;210;27;44;44;0
19646V885990;Tuv sør;FV17 S58D1 m17951;2025-08-01T00:00+02:00;2025-09-01T00:00+02:00;2025;8;1186;1186;1186;100,0;31;31;0;1;99,9;1;994;191;73;87;12;20;20;0
