Trafikkregistreringspunkt;Navn;Vegreferanse;Fra;Til;Dato;Felt;Trafikkmengde;Dekningsgrad (%);Antall timer total;Antall timer inkludert;Antall timer ugyldig;Ikke gyldig lengde;Lengdekvalitetsgrad (%);< 5,6m;>= 5,6m;5,6m - 7,6m;7,6m - 12,5m;12,5m - 16,0m;>= 16,0m;16,0m - 24,0m;>= 24,0m
19646V885990;Tuv sør;FV17 S58D1 m17951;2025-05-01T00:00+02:00;2025-05-02T00:00+02:00;2025-05-01;1;748;100,0;24;24;0;1;99,87;683;64;18;36;5;5;5;0
19646V885990;Tuv sør;FV17 S58D1 m17951;2025-05-01T00:00+02:00;2025-05-02T00:00+02:00;2025-05-01;2;784;100,0;24;24;0;0;100,00;717;67;16;41;3;7;7;0
19646V885990;Tuv sør;FV17 S58D1 m17951;2025-05-01T00:00+02:00;2025-05-02T00:00+02:00;2025-05-01;Totalt i retning Bodø;750;100,0;24;24;0;1;99,87;685;64;18;36;5;5;5;0
19646V885990;Tuv sør;FV17 S58D1 m17951;2025-05-01T00:00+02:00;2025-05-02T00:00+02:00;2025-05-01;Totalt i retning Ørnes;782;100,0;24;24;0;0;100,00;715;67;16;41;3;7;7;0
19646V885990;Tuv sør;FV17 S58D1 m17951;2025-05-01T00:00+02:00;2025-05-02T00:00+02:00;2025-05-01;Totalt;1532;100,0;24;24;0;1;99,93;1400;131;34;77;8;12;12;0
19646V885990;Tuv sør;FV17 S58D1 m17951;2025-05-02T00:00+02:00;2025-05-03T00:00+02:00;2025-05-02;1;877;100,0;24;24;0;0;100,00;732;145;35;74;11;25;25;0
19646V885990;Tuv sør;FV17 S58D1 m17951;2025-05-02T00:00+02:00;2025-05-03T00:00+02:00;2025-05-02;2;1092;100,0;24;24;0;0;100,00;933;159;40;92;8;19;19;0
19646V885990;Tuv sør;FV17 S58D1 m17951;2025-05-02T00:00+02:00;2025-05-03T00:00+02:00;2025-05-02;Totalt i retning Bodø;879;100,0;24;24;0;0;100,00;734;145;35;74;11;25;25;0
19646V885990;Tuv sør;FV17 S58D1 m17951;2025-05-02T00:00+02:00;2025-05-03T00:00+02:00;2025-05-02;Totalt i retning Ørnes;1090;100,0;24;24;0;0;100,00;931;159;40;92;8;19;19;0
19646V885990;Tuv sør;FV17 S58D1 m17951;2025-05-02T00:00+02:00;2025-05-03T00:00+02:00;2025-05-02;Totalt;1969;100,0;24;24;0;0;100,00;1665;304;75;166;19;44;44;0
19646V885990;Tuv sør;FV17 S58D1 m17951;2025-05-03T00:00+02:00;2025-05-04T00:00+02:00;2025-05-03;1;636;100,0;24;24;0;1;99,84;569;66;28;33;3;2;2;0
19646V885990;Tuv sør;FV17 S58D1 m17951;2025-05-03T00:00+02:00;2025-05-04T00:00+02:00;2025-05-03;2;641;100,0;24;24;0;0;100,00;575;66;27;31;5;3;3;0
19646V885990;Tuv sør;FV17 S58D1 m17951;2025-05-03T00:00+02:00;2025-05-04T00:00+02:00;2025-05-03;Totalt i retning Bodø;637;100,0;24;24;0;1;99,84;570;66;28;33;3;2;2;0
19646V885990;Tuv sør;FV17 S58D1 m17951;2025-05-03T00:00+02:00;2025-05-04T00:00+02:00;2025-05-03;Totalt i retning Ørnes;640;100,0;24;24;0;0;100,00;574;66;27;31;5;3;3;0
19646V885990;Tuv sør;FV17 S58D1 m17951;2025-05-03T00:00+02:00;2025-05-04T00:00+02:00;2025-05-03;Totalt;1277;100,0;24;24;0;1;99,92;1144;132;55;64;8;5;5;0
19646V885990;Tuv sør;FV17 S58D1 m17951;2025-05-04T00:00+02:00;2025-05-05T00:00+02:00;2025-05-04;1;1192;100,0;24;24;0;0;100,00;1074;118;36;76;2;4;4;0
19646V885990;Tuv sør;FV17 S58D1 m17951;2025-05-04T00:00+02:00;2025-05-05T00:00+02:00;2025-05-04;2;637;100,0;24;24;0;0;100,00;589;48;16;20;5;7;7;0
19646V885990;Tuv sør;FV17 S58D1 m17951;2025-05-04T00:00+02:00;2025-05-05T00:00+02:00;2025-05-04;Totalt i retning Bodø;1193;100,0;24;24;0;0;100,00;1075;118;36;76;2;4;4;0
19646V885990;Tuv sør;FV17 S58D1 m17951;2025-05-04T00:00+02:00;2025-05-05T00:00+02:00;2025-05-04;Totalt i retning Ørnes;636;100,0;24;24;0;0;100,00;588;48;16;20;5;7;7;0
19646V885990;Tuv sør;FV17 S58D1 m17951;2025-05-04T00:00+02:00;2025-05-05T00:00+02:00;2025-05-04;Totalt;1829;100,0;24;24;0;0;100,00;1663;166;52;96;7;11;11;0
19646V885990;Tuv sør;FV17 S58D1 m17951;2025-05-05T00:00+02:00;2025-05-06T00:00+02:00;2025-05-05;1;800;100,0;24;24;0;0;100,00;672;128;30;73;6;19;18;1
19646V885990;Tuv sør;FV17 S58D1 m17951;2025-05-05T00:00+02:00;2025-05-06T00:00+02:00;2025-05-05;2;838;100,0;24;24;0;0;100,00;706;132;37;67;8;20;20;0
19646V885990;Tuv sør;FV17 S58D1 m17951;2025-05-05T00:00+02:00;2025-05-06T00:00+02:00;2025-05-05;Totalt i retning Bodø;800;100,0;24;24;0;0;100,00;672;128;30;73;6;19;18;1
