Zone;Full_name;name;Total_fishing;Snag_count;Snag%;Lost%
B;Kjelen;B1;194;78;40;15
B;Kjelen Bay;B2;151;31;21;5
B;Camera;B7;24;5;21;4
B;Gapahuk;B5;96;15;16;3
B;Bridge east;BE;110;15;14;3
B;Current Bay;B3;26;3;12;0
B;Rundholmen;B6;147;14;10;4
B;Stairs;B4;77;1;1;1
B;Boats B;Boat_B;428;6;1;1
B;Bridge West South;BWS;6;0;0;0
B;Camera East;B8;NA;NA;NA;NA
A;Hotel;A1;25;14;56;24
A;Bridge West North;BWN;8;3;38;13
A;Bridge West;BW;11;4;36;9
A;Bridge East North;BEN;60;18;30;10
A;North Hotel;A4;76;16;21;8
A;Camping;A3;162;16;10;1
A;Cow Stretch;A2;26;1;4;4
A;Boats A;Boat_A;151;2;1;0
